Mes,Tipo de cambio nominal promedio mensual
ene-03,0.0018
ene-04,0.0016
ene-05,0.0014
ene-06,0.0014
ene-07,0.0014
ene-08,1.4748
ene-09,1.7395
ene-10,0.9490
ene-11,0.9617
ene-12,1.0598
ene-13,0.9126
ene-14,1.2907
ene-15,1.4730
ene-16,1.6414
ene-17,1.6407
ene-18,0.3649
ene-19,0.0124
