Mes,Tipo de cambio nominal promedio mensual
ene-07,3.1159
ene-08,3.1628
ene-09,3.7305
ene-10,3.9129
ene-11,4.1305
ene-12,4.5525
ene-13,5.4837
ene-14,8.1213
ene-15,9.2681
ene-16,14.7854
ene-17,16.6556
ene-18,28.1329
ene-19,42.3514
