Mes,Tipo de cambio nominal promedio mensual
ene-03,0.9624
ene-04,1.0085
ene-05,1.2076
ene-06,1.4142
ene-07,1.6075
ene-08,1.7489
ene-09,1.8995
ene-10,2.2258
ene-11,2.4744
ene-12,2.3320
ene-13,2.5392
ene-14,3.4587
ene-15,2.8042
ene-16,4.2788
ene-17,5.2073
ene-18,7.6026
ene-19,11.1411
